Unnamed: 0,OrigCode,DestCode,Origin,Destination,Trips,Dist,Persons 2011_x,OriPop19,DestEmp19,Ourban,Durban,Inc19_x,region,Inc19_y,lon-origin,lat-origin,lon-dist,lat-dist
79,30112.0,30105.0,Alna Oslo,Frogner Oslo,7587,10048.405792950687,29231,30341,48082.0,9.23,5.35,477000,30105,464000,10.8352756,59.9324168,10.7066491,59.9222241
80,30113.0,30105.0,Østensjø Oslo,Frogner Oslo,6983,8210.104530633964,27005,30474,48082.0,7.66,5.35,539000,30105,464000,10.83274792453087,59.8875633,10.7066491,59.9222241
81,30114.0,30105.0,Nordstrand Oslo,Frogner Oslo,8715,6483.483948672486,27713,30471,48082.0,11.83,5.35,607000,30105,464000,10.7861425,59.8645605,10.7066491,59.9222241
82,30115.0,30105.0,Søndre Nordstrand Oslo,Frogner Oslo,4421,11064.582876695413,21953,23438,48082.0,6.16,5.35,539000,30105,464000,10.798495515727911,59.83594385,10.7066491,59.9222241
83,30116.0,30105.0,Sentrum Oslo,Frogner Oslo,13480,2751.375872424393,825,1264,48082.0,1.4,5.35,335000,30105,464000,10.7531379,59.9110251,10.7066491,59.9222241
84,30117.0,30105.0,Marka Oslo,Frogner Oslo,657,11910.554042001106,1014,1035,48082.0,5.699999999999999,5.35,625000,30105,464000,10.671005191490298,60.040261650000005,10.7066491,59.9222241
85,30101.0,30106.0,Gamle Oslo,Ullern Oslo,5653,5495.850695310252,32642,41736,38334.0,4.75,7.1,453000,30106,648000,10.73476733965368,59.8992367,10.665131833047553,59.9258182
86,30102.0,30106.0,Grünerløkka Oslo,Ullern Oslo,5328,6440.396647702842,36931,47824,38334.0,3.65,7.1,450000,30106,648000,10.777421166334747,59.92547125,10.665131833047553,59.9258182
87,30103.0,30106.0,Sagene Oslo,Ullern Oslo,4047,5845.2628769707735,27199,33852,38334.0,2.34,7.1,461000,30106,648000,10.765848812662396,59.93827295,10.665131833047553,59.9258182
88,30104.0,30106.0,St. Hanshaugen Oslo,Ullern Oslo,5378,4300.922129547601,26137,29966,38334.0,2.8,7.1,430000,30106,648000,10.738958251649304,59.9279499,10.665131833047553,59.9258182
89,30105.0,30106.0,Frogner Oslo,Ullern Oslo,12645,2583.118128023521,37858,42741,38334.0,5.35,7.1,464000,30106,648000,10.7066491,59.9222241,10.665131833047553,59.9258182
90,30106.0,30106.0,Ullern Oslo,Ullern Oslo,26358,0.0,18359,19164,38334.0,7.1,7.1,648000,30106,648000,10.665131833047553,59.9258182,10.665131833047553,59.9258182
91,30107.0,30106.0,Vestre Aker Oslo,Ullern Oslo,8634,3098.8418027851576,26115,27837,38334.0,11.55,7.1,688000,30106,648000,10.6703187408315,59.95830005,10.665131833047553,59.9258182
92,30108.0,30106.0,Nordre Aker Oslo,Ullern Oslo,6102,6144.399138746236,29692,31804,38334.0,10.5,7.1,578000,30106,648000,10.756412356654582,59.95363815,10.665131833047553,59.9258182
93,30109.0,30106.0,Bjerke Oslo,Ullern Oslo,2412,9106.542465768924,17453,20501,38334.0,5.85,7.1,490000,30106,648000,10.829208453029786,59.941394700000004,10.665131833047553,59.9258182
94,30110.0,30106.0,Grorud Oslo,Ullern Oslo,1479,12926.67369477657,15957,17273,38334.0,4.37,7.1,453000,30106,648000,10.8805488,59.9614243,10.665131833047553,59.9258182
