,OrigCode,DestCode,Origin,Destination,Trips,Simulated_Trips
179,30111.0,30110.0,Stovner Oslo,Grorud Oslo,4796.0,4796.0
180,30111.0,30111.0,Stovner Oslo,Stovner Oslo,19358.0,19358.0
181,30111.0,30112.0,Stovner Oslo,Alna Oslo,7001.0,7001.0
182,30111.0,30113.0,Stovner Oslo,Østensjø Oslo,2457.0,2457.0
183,30111.0,30114.0,Stovner Oslo,Nordstrand Oslo,1774.0,1774.0
184,30111.0,30115.0,Stovner Oslo,Søndre Nordstrand Oslo,1321.0,1321.0
185,30111.0,30116.0,Stovner Oslo,Sentrum Oslo,2088.0,2088.0
186,30111.0,30117.0,Stovner Oslo,Marka Oslo,153.0,153.0
187,30112.0,30101.0,Alna Oslo,Gamle Oslo,11422.0,4793.5
188,30112.0,30102.0,Alna Oslo,Grünerløkka Oslo,9082.0,9082.0
189,30112.0,30103.0,Alna Oslo,Sagene Oslo,5271.0,5271.0
190,30112.0,30104.0,Alna Oslo,St. Hanshaugen Oslo,5869.0,5869.0
191,30112.0,30105.0,Alna Oslo,Frogner Oslo,7587.0,7587.0
192,30112.0,30106.0,Alna Oslo,Ullern Oslo,3485.0,3485.0
193,30112.0,30107.0,Alna Oslo,Vestre Aker Oslo,4345.0,4345.0
194,30112.0,30108.0,Alna Oslo,Nordre Aker Oslo,6978.0,6978.0
195,30112.0,30109.0,Alna Oslo,Bjerke Oslo,9254.0,9254.0
196,30112.0,30110.0,Alna Oslo,Grorud Oslo,6432.0,6432.0
197,30112.0,30111.0,Alna Oslo,Stovner Oslo,7398.0,7398.0
198,30112.0,30112.0,Alna Oslo,Alna Oslo,41430.0,41430.0
199,30112.0,30113.0,Alna Oslo,Østensjø Oslo,10491.0,10491.0
200,30112.0,30114.0,Alna Oslo,Nordstrand Oslo,6306.0,6306.0
201,30112.0,30115.0,Alna Oslo,Søndre Nordstrand Oslo,4550.0,4550.0
202,30112.0,30116.0,Alna Oslo,Sentrum Oslo,4407.0,4407.0
203,30112.0,30117.0,Alna Oslo,Marka Oslo,601.0,601.0
204,30113.0,30101.0,Østensjø Oslo,Gamle Oslo,9918.0,7123.0
205,30113.0,30102.0,Østensjø Oslo,Grünerløkka Oslo,6616.0,6616.0
206,30113.0,30103.0,Østensjø Oslo,Sagene Oslo,3809.0,3809.0
207,30113.0,30104.0,Østensjø Oslo,St. Hanshaugen Oslo,5705.0,5705.0
208,30113.0,30105.0,Østensjø Oslo,Frogner Oslo,6983.0,6983.0
209,30113.0,30106.0,Østensjø Oslo,Ullern Oslo,3173.0,3173.0
210,30113.0,30107.0,Østensjø Oslo,Vestre Aker Oslo,3216.0,3216.0
211,30113.0,30108.0,Østensjø Oslo,Nordre Aker Oslo,5873.0,5873.0
212,30113.0,30109.0,Østensjø Oslo,Bjerke Oslo,4172.0,4172.0
213,30113.0,30110.0,Østensjø Oslo,Grorud Oslo,2543.0,2543.0
214,30113.0,30111.0,Østensjø Oslo,Stovner Oslo,2246.0,2246.0
215,30113.0,30112.0,Østensjø Oslo,Alna Oslo,10194.0,10194.0
216,30113.0,30113.0,Østensjø Oslo,Østensjø Oslo,36238.0,36238.0
217,30113.0,30114.0,Østensjø Oslo,Nordstrand Oslo,10248.0,10248.0
218,30113.0,30115.0,Østensjø Oslo,Søndre Nordstrand Oslo,5826.0,5826.0
219,30113.0,30116.0,Østensjø Oslo,Sentrum Oslo,4326.0,4326.0
220,30113.0,30117.0,Østensjø Oslo,Marka Oslo,427.0,427.0
221,30114.0,30101.0,Nordstrand Oslo,Gamle Oslo,9361.0,8677.6
222,30114.0,30102.0,Nordstrand Oslo,Grünerløkka Oslo,6351.0,6351.0
223,30114.0,30103.0,Nordstrand Oslo,Sagene Oslo,3643.0,3643.0
224,30114.0,30104.0,Nordstrand Oslo,St. Hanshaugen Oslo,5962.0,5962.0
225,30114.0,30105.0,Nordstrand Oslo,Frogner Oslo,8715.0,8715.0
226,30114.0,30106.0,Nordstrand Oslo,Ullern Oslo,3656.0,3656.0
227,30114.0,30107.0,Nordstrand Oslo,Vestre Aker Oslo,3632.0,3632.0
228,30114.0,30108.0,Nordstrand Oslo,Nordre Aker Oslo,5814.0,5814.0
229,30114.0,30109.0,Nordstrand Oslo,Bjerke Oslo,3368.0,3368.0
230,30114.0,30110.0,Nordstrand Oslo,Grorud Oslo,1861.0,1861.0
231,30114.0,30111.0,Nordstrand Oslo,Stovner Oslo,1852.0,1852.0
232,30114.0,30112.0,Nordstrand Oslo,Alna Oslo,6215.0,6215.0
233,30114.0,30113.0,Nordstrand Oslo,Østensjø Oslo,10161.0,10161.0
234,30114.0,30114.0,Nordstrand Oslo,Nordstrand Oslo,41953.0,41953.0
235,30114.0,30115.0,Nordstrand Oslo,Søndre Nordstrand Oslo,8781.0,8781.0
236,30114.0,30116.0,Nordstrand Oslo,Sentrum Oslo,4968.0,4968.0
237,30114.0,30117.0,Nordstrand Oslo,Marka Oslo,213.0,213.0
238,30115.0,30101.0,Søndre Nordstrand Oslo,Gamle Oslo,5652.0,4499.5
239,30115.0,30102.0,Søndre Nordstrand Oslo,Grünerløkka Oslo,3876.0,3876.0
240,30115.0,30103.0,Søndre Nordstrand Oslo,Sagene Oslo,1863.0,1863.0
241,30115.0,30104.0,Søndre Nordstrand Oslo,St. Hanshaugen Oslo,3541.0,3541.0
242,30115.0,30105.0,Søndre Nordstrand Oslo,Frogner Oslo,4421.0,4421.0
243,30115.0,30106.0,Søndre Nordstrand Oslo,Ullern Oslo,1808.0,1808.0
244,30115.0,30107.0,Søndre Nordstrand Oslo,Vestre Aker Oslo,1905.0,1905.0
245,30115.0,30108.0,Søndre Nordstrand Oslo,Nordre Aker Oslo,2989.0,2989.0
246,30115.0,30109.0,Søndre Nordstrand Oslo,Bjerke Oslo,2097.0,2097.0
247,30115.0,30110.0,Søndre Nordstrand Oslo,Grorud Oslo,1293.0,1293.0
248,30115.0,30111.0,Søndre Nordstrand Oslo,Stovner Oslo,1335.0,1335.0
249,30115.0,30112.0,Søndre Nordstrand Oslo,Alna Oslo,4596.0,4596.0
250,30115.0,30113.0,Søndre Nordstrand Oslo,Østensjø Oslo,5853.0,5853.0
251,30115.0,30114.0,Søndre Nordstrand Oslo,Nordstrand Oslo,8494.0,8494.0
252,30115.0,30115.0,Søndre Nordstrand Oslo,Søndre Nordstrand Oslo,22139.0,22139.0
253,30115.0,30116.0,Søndre Nordstrand Oslo,Sentrum Oslo,2988.0,2988.0
254,30115.0,30117.0,Søndre Nordstrand Oslo,Marka Oslo,171.0,171.0
255,30116.0,30101.0,Sentrum Oslo,Gamle Oslo,11109.0,10830.9
256,30116.0,30102.0,Sentrum Oslo,Grünerløkka Oslo,9569.0,9569.0
257,30116.0,30103.0,Sentrum Oslo,Sagene Oslo,5475.0,5475.0
258,30116.0,30104.0,Sentrum Oslo,St. Hanshaugen Oslo,11452.0,11452.0
259,30116.0,30105.0,Sentrum Oslo,Frogner Oslo,13480.0,13480.0
260,30116.0,30106.0,Sentrum Oslo,Ullern Oslo,3552.0,3552.0
261,30116.0,30107.0,Sentrum Oslo,Vestre Aker Oslo,4488.0,4488.0
262,30116.0,30108.0,Sentrum Oslo,Nordre Aker Oslo,5524.0,5524.0
263,30116.0,30109.0,Sentrum Oslo,Bjerke Oslo,2874.0,2874.0
264,30116.0,30110.0,Sentrum Oslo,Grorud Oslo,2000.0,2000.0
265,30116.0,30111.0,Sentrum Oslo,Stovner Oslo,2213.0,2213.0
266,30116.0,30112.0,Sentrum Oslo,Alna Oslo,4364.0,4364.0
267,30116.0,30113.0,Sentrum Oslo,Østensjø Oslo,4448.0,4448.0
268,30116.0,30114.0,Sentrum Oslo,Nordstrand Oslo,5172.0,5172.0
269,30116.0,30115.0,Sentrum Oslo,Søndre Nordstrand Oslo,3323.0,3323.0
270,30116.0,30116.0,Sentrum Oslo,Sentrum Oslo,25783.0,25783.0
271,30116.0,30117.0,Sentrum Oslo,Marka Oslo,291.0,291.0
272,30117.0,30101.0,Marka Oslo,Gamle Oslo,340.0,378.3
273,30117.0,30102.0,Marka Oslo,Grünerløkka Oslo,661.0,661.0
274,30117.0,30103.0,Marka Oslo,Sagene Oslo,616.0,616.0
275,30117.0,30104.0,Marka Oslo,St. Hanshaugen Oslo,518.0,518.0
276,30117.0,30105.0,Marka Oslo,Frogner Oslo,657.0,657.0
277,30117.0,30106.0,Marka Oslo,Ullern Oslo,508.0,508.0
278,30117.0,30107.0,Marka Oslo,Vestre Aker Oslo,1278.0,1278.0
279,30117.0,30108.0,Marka Oslo,Nordre Aker Oslo,1474.0,1474.0
280,30117.0,30109.0,Marka Oslo,Bjerke Oslo,421.0,421.0
281,30117.0,30110.0,Marka Oslo,Grorud Oslo,240.0,240.0
282,30117.0,30111.0,Marka Oslo,Stovner Oslo,138.0,138.0
283,30117.0,30112.0,Marka Oslo,Alna Oslo,521.0,521.0
284,30117.0,30113.0,Marka Oslo,Østensjø Oslo,403.0,403.0
285,30117.0,30114.0,Marka Oslo,Nordstrand Oslo,187.0,187.0
286,30117.0,30115.0,Marka Oslo,Søndre Nordstrand Oslo,123.0,123.0
287,30117.0,30116.0,Marka Oslo,Sentrum Oslo,252.0,252.0
288,30117.0,30117.0,Marka Oslo,Marka Oslo,1492.0,1492.0
