,OrigCode,DestCode,Origin,Destination,Trips,OPop,DEmpl,Ourban,Durban,OInc,DInc,Distance
183,30111,30114,Stovner,Nordstrand,1774,19116,11179.0,5.04,11.83,489000,607000,13988.400529021277
184,30111,30115,Stovner,Søndre Nordstrand,1321,19116,6701.0,5.04,6.16,489000,539000,19536.192242438407
185,30111,30116,Stovner,Sentrum,2088,19116,77995.0,5.04,1.4,489000,335000,12165.731278640567
186,30111,30117,Stovner,Marka,153,19116,793.0,5.04,5.699999999999999,489000,625000,19680.323930971357
187,30112,30101,Alna,Gamle Oslo,11422,30341,43121.0,9.23,4.75,477000,453000,6162.169629051199
188,30112,30102,Alna,Grünerløkka,9082,30341,29560.0,9.23,3.65,477000,450000,5900.396441537357
189,30112,30103,Alna,Sagene,5271,30341,19408.0,9.23,2.34,477000,461000,7381.031137485456
190,30112,30104,Alna,St. Hanshaugen,5869,30341,54104.0,9.23,2.8,477000,430000,8750.776785544916
191,30112,30105,Alna,Frogner,7587,30341,48082.0,9.23,5.35,477000,464000,10048.405792950687
192,30112,30106,Alna,Ullern,3485,30341,38334.0,9.23,7.1,477000,648000,13451.294209522308
193,30112,30107,Alna,Vestre Aker,4345,30341,13362.0,9.23,11.55,477000,688000,13842.058116678594
194,30112,30108,Alna,Nordre Aker,6978,30341,42238.0,9.23,10.5,477000,578000,8627.034830415494
195,30112,30109,Alna,Bjerke,9254,30341,22537.0,9.23,5.85,477000,490000,4363.448409157616
196,30112,30110,Alna,Grorud,6432,30341,9297.0,9.23,4.37,477000,453000,5366.0398964570795
197,30112,30111,Alna,Stovner,7398,30341,9490.0,9.23,5.04,477000,489000,6093.400621247872
198,30112,30112,Alna,Alna,41430,30341,31427.0,9.23,9.23,477000,477000,0.0
199,30112,30113,Alna,Østensjø,10491,30341,12470.0,9.23,7.66,477000,539000,5339.9616252740225
200,30112,30114,Alna,Nordstrand,6306,30341,11179.0,9.23,11.83,477000,607000,9187.049789492246
201,30112,30115,Alna,Søndre Nordstrand,4550,30341,6701.0,9.23,6.16,477000,539000,13884.191688287745
202,30112,30116,Alna,Sentrum,4407,30341,77995.0,9.23,1.4,477000,335000,7852.706895811375
203,30112,30117,Alna,Marka,601,30341,793.0,9.23,5.699999999999999,477000,625000,16821.835439936596
204,30113,30101,Østensjø,Gamle Oslo,9918,30474,43121.0,7.66,4.75,539000,453000,5298.810242808733
205,30113,30102,Østensjø,Grünerløkka,6616,30474,29560.0,7.66,3.65,539000,450000,5739.309457199447
206,30113,30103,Østensjø,Sagene,3809,30474,19408.0,7.66,2.34,539000,461000,7682.7065212751295
207,30113,30104,Østensjø,St. Hanshaugen,5705,30474,54104.0,7.66,2.8,539000,430000,8589.689801207005
208,30113,30105,Østensjø,Frogner,6983,30474,48082.0,7.66,5.35,539000,464000,8210.104530633964
209,30113,30106,Østensjø,Ullern,3173,30474,38334.0,7.66,7.1,539000,648000,12587.934823279842
210,30113,30107,Østensjø,Vestre Aker,3216,30474,13362.0,7.66,11.55,539000,688000,14089.553530858646
211,30113,30108,Østensjø,Nordre Aker,5873,30474,42238.0,7.66,10.5,539000,578000,9246.791507761034
212,30113,30109,Østensjø,Bjerke,4172,30474,22537.0,7.66,5.85,539000,490000,6875.590209250571
213,30113,30110,Østensjø,Grorud,2543,30474,9297.0,7.66,4.37,539000,453000,10373.860829488074
214,30113,30111,Østensjø,Stovner,2246,30474,9490.0,7.66,5.04,539000,489000,11101.22155427886
215,30113,30112,Østensjø,Alna,10194,30474,31427.0,7.66,9.23,539000,477000,7318.668630063553
216,30113,30113,Østensjø,Østensjø,36238,30474,12470.0,7.66,7.66,539000,539000,0.0
217,30113,30114,Østensjø,Nordstrand,10248,30474,11179.0,7.66,11.83,539000,607000,3847.088164218221
218,30113,30115,Østensjø,Søndre Nordstrand,5826,30474,6701.0,7.66,6.16,539000,539000,8544.23006301372
219,30113,30116,Østensjø,Sentrum,4326,30474,77995.0,7.66,1.4,539000,335000,6989.347509568909
220,30113,30117,Østensjø,Marka,427,30474,793.0,7.66,5.699999999999999,539000,625000,17441.592117282136
221,30114,30101,Nordstrand,Gamle Oslo,9361,30471,43121.0,11.83,4.75,607000,453000,5547.74419253047
222,30114,30102,Nordstrand,Grünerløkka,6351,30471,29560.0,11.83,3.65,607000,450000,7332.81293689462
223,30114,30103,Nordstrand,Sagene,3643,30471,19408.0,11.83,2.34,607000,461000,8654.556418226486
224,30114,30104,Nordstrand,St. Hanshaugen,5962,30471,54104.0,11.83,2.8,607000,430000,8528.379772529472
225,30114,30105,Nordstrand,Frogner,8715,30471,48082.0,11.83,5.35,607000,464000,9324.858796258239
226,30114,30106,Nordstrand,Ullern,3656,30471,38334.0,11.83,7.1,607000,648000,9029.777763851038
227,30114,30107,Nordstrand,Vestre Aker,3632,30471,13362.0,11.83,11.55,607000,688000,13204.262242109036
228,30114,30108,Nordstrand,Nordre Aker,5814,30471,42238.0,11.83,10.5,607000,578000,10348.827705908012
229,30114,30109,Nordstrand,Bjerke,3368,30471,22537.0,11.83,5.85,607000,490000,9666.618678170633
230,30114,30110,Nordstrand,Grorud,1861,30471,9297.0,11.83,4.37,607000,453000,13600.076537236824
231,30114,30111,Nordstrand,Stovner,1852,30471,9490.0,11.83,5.04,607000,489000,14327.437262027604
232,30114,30112,Nordstrand,Alna,6215,30471,31427.0,11.83,9.23,607000,477000,10109.697098983614
