,OrigCode,DestCode,Origin,Destination,Trips,Simulated_Trips
275,30104.0,30117.0,St. Hanshaugen Oslo,Marka Oslo,567,567.0
276,30105.0,30117.0,Frogner Oslo,Marka Oslo,711,711.0
277,30106.0,30117.0,Ullern Oslo,Marka Oslo,508,508.0
278,30107.0,30117.0,Vestre Aker Oslo,Marka Oslo,1284,1284.0
279,30108.0,30117.0,Nordre Aker Oslo,Marka Oslo,1417,1417.0
280,30109.0,30117.0,Bjerke Oslo,Marka Oslo,441,441.0
281,30110.0,30117.0,Grorud Oslo,Marka Oslo,252,252.0
282,30111.0,30117.0,Stovner Oslo,Marka Oslo,153,153.0
283,30112.0,30117.0,Alna Oslo,Marka Oslo,601,601.0
284,30113.0,30117.0,Østensjø Oslo,Marka Oslo,427,427.0
285,30114.0,30117.0,Nordstrand Oslo,Marka Oslo,213,213.0
286,30115.0,30117.0,Søndre Nordstrand Oslo,Marka Oslo,171,171.0
287,30116.0,30117.0,Sentrum Oslo,Marka Oslo,291,291.0
288,30117.0,30117.0,Marka Oslo,Marka Oslo,1492,1492.0
